name;cpu_weight;net_weight
111111111111;10000;10000
11k3rattai55;10000;10000
121212121212;10000;10000
121333333333;10000;10000
122232332323;10000;10000
122333323422;10000;10000
123123123111;10000;10000
123451234533;10000;10000
123543234112;10000;10000
12characters;10000;10000
1aaronbrown1;10000;10000
1paulshumsky;10000;10000
1testuser123;10000;10000
234245242311;10000;10000
2aaronbrown2;10000;10000
324144221312;10000;10000
345345345345;10000;10000
34fgdhguygkh;110000;160000
454453423432;10000;10000
545454544545;10000;10000
554432222233;10000;10000
aaaaaaaaaaaa;10000;10000
abaargentina;10000000;10000000
abafundation;410000;410000
abcdefghijkl;10000;10000
abraininajar;10000;10000
acceleratorr;10000;10000
accregistrar;10000000;10000000
adendumblock;10000000;10000000
ahmadsghaier;10000;10000
alexahuliard;10000;10000
alexkeitheos;10000;10000
alexkoh55555;10000;10000
alexprokopov;10000;10000
alisechannel;1120000;620000
allowability;1010000;110000
altwithlella;10000;10000
amandabella1;10000;10000
andrewufirst;70010000;70010000
andrewusecnd;10000000;10000000
angelgangle1;10000;10000
antoniodiazc;10000;10000
argentinauos;10000000;10000000
arlinesloves;10000;10000
armaanpuri12;10000;10000
autumnknight;110000;110000
avraldtriper;10000;10000
babs4242cryp;10000;10000
babuhorangii;10000;10000
barineka1111;10000;10000
bbbbbbbbbbbb;10000;10000
beanzmachine;10000;10000
benjamintinp;100000;100000
benjaminvza1;10000;10000
benjones1234;320000;310000
benjonescryp;160000;270000
bigbluewhale;10000;10000
bisodunfarat;10000;10000
bitcoinjesus;10000;10000
bitcoinpeers;10000;10000
bitsofvttoth;10000;10000
blackdiamond;10000;10000
blckchainews;10000;10000
bonderoleses;10000;10000
bookoons1155;10000;10000
bornin333333;1010000;110000
breakingnews;10000;10000
c33kiemonsta;10000;10000
caesarpeterz;10000;10000
caiomonteiro;10000;10000
cchackk12345;10000;10000
chadmkeeney1;10000;10000
chechulinaka;20010000;20010000
chittychitty;10000;10000
claimreclaim;160000;160000
claytoonn123;10000;10000
cleopatra111;10000000;10000000
colinbmwood1;10000;10000
communityric;10000;10000
constantinoz;10000;10000
constitution;10000;10000
creativision;10000;10000
crispycheese;10000;10000
cryptocrypto;4410000;4410000
cryptodude22;10000;10000
cryptogalact;10000;10000
cryptojp1234;10000;10000
cryptolionsu;10000000;10000000
cryptoloveuc;10000;10000
cryptomaneos;30000;20000
cryptomaniac;10000;10000
cryptomomo21;10000;10000
cryptopivot1;10000;10000
cryptotechni;10000;10000
cryptotsakf1;10000;10000
cryptoworldx;10000;10000
cubesgrandpa;10000;10000
curiousagent;10000;10000
dailyfinally;10000;10000
dailyreposta;10000;10000
danchestnykh;5250010000;5250010000
debrajghosh1;10000;10000
deniscarrier;10000;10000
denislavrik1;10000;10000
denislavrik2;10000;10000
dgazekblockp;10000;10000
dgdfggb23231;10000;10000
dimalitvinov;10000;10000
dinadz532514;10000;10000
dinadzh33532;10000;10000
dischargerer;10000;10000
doccombang12;10000;10000
doctordoctor;10000;10000
dodekahedron;10000;10000
donaldjtrump;10000;10000
donvagabond1;10000;10000
dragonticket;10000;10000
drsamdouglas;60000;60000
dsentimental;10000;10000
economictruh;10000;10000
edwardtaycom;10000;10000
emekacollins;10000;10000
emisaldiavia;310000;280000
emjoetheboss;10000;10000
encyclopedia;10000;10000
eosargentina;10000;10000
eoscannonchn;10000000;10000000
eosheadline1;10000;10000
eosio;-1;-1
eosio.bpay;-1;-1
eosio.msig;-1;-1
eosio.names;-1;-1
eosio.null;-1;-1
eosio.prods;-1;-1
eosio.ram;-1;-1
eosio.ramfee;-1;-1
eosio.saving;-1;-1
eosio.stake;-1;-1
eosio.token;-1;-1
eosio.vpay;-1;-1
eosnationbp1;10000;10000
eosnationftw;320000;10000
eosukcitizen;10000;10000
eraser113311;10000;10000
ervinlemark5;10000;10000
estrectopolo;10000;10000
eugeneluzgin;10000;10000
eugeneovsyan;10000;10000
fabianacecin;460000;160000
farfarawayyy;210000;110000
fhuckleberry;110000;60000
fiasteempdac;10000;10000
fundacionaba;16210000;16210000
